M_S0,R_S0,M_C0,R_C0,M_I0,R_I0,SensorMassScalingFactor,SensorMassSpacingFactor,SensorReliabScalingFactor,CompMassScalingFactor,CompMassSpacingFactor,CompReliabScalingFactor,DissimilarComponentPenalty,M_SA,M_SB,M_SC,R_SA,R_SB,R_SC,M_CA,M_CB,M_CC,R_CA,R_CB,R_CC,NS,NC,NA,sensors,computers,Ibin_1,Ibin_2,Ibin_3,Ibin_4,Ibin_5,Ibin_6,Ibin_7,Ibin_8,Ibin_9,Inat_1,Inat_2,Inat_3,m,R,MTTF,Nlinks,Fields,N9
6,0.999,5,0.9996,0,1,1,0.5,1,1,0.5,1,9,3,6,9,0.9985,0.999,0.9995,3,5,10,0.999,0.9996,0.9998,1,3,,200,223,49,49,49,,,,,,,7,,,35,0.999,999.4998847,3,,2.999999986
6,0.999,5,0.9996,0,1,1,0.5,1,1,0.5,1,9,3,6,9,0.9985,0.999,0.9995,3,5,10,0.999,0.9996,0.9998,1,3,,200,233,49,49,49,,,,,,,7,,,40,0.999,999.4999006,3,,2.999999993
6,0.999,5,0.9996,0,1,1,0.5,1,1,0.5,1,9,3,6,9,0.9985,0.999,0.9995,3,5,10,0.999,0.9996,0.9998,1,3,,200,333,49,49,49,,,,,,,7,,,36,0.999,999.4999086,3,,2.999999997
6,0.999,5,0.9996,0,1,1,0.5,1,1,0.5,1,9,3,6,9,0.9985,0.999,0.9995,3,5,10,0.999,0.9996,0.9998,1,3,,300,111,49,49,49,,,,,,,7,,,18,0.999499999,1999.49596,3,,3.301029128
6,0.999,5,0.9996,0,1,1,0.5,1,1,0.5,1,9,3,6,9,0.9985,0.999,0.9995,3,5,10,0.999,0.9996,0.9998,1,3,,300,112,49,49,49,,,,,,,7,,,29,0.9995,1999.498359,3,,3.301029648
6,0.999,5,0.9996,0,1,1,0.5,1,1,0.5,1,9,3,6,9,0.9985,0.999,0.9995,3,5,10,0.999,0.9996,0.9998,1,3,,300,113,49,49,49,,,,,,,7,,,34,0.9995,1999.499159,3,,3.301029822
6,0.999,5,0.9996,0,1,1,0.5,1,1,0.5,1,9,3,6,9,0.9985,0.999,0.9995,3,5,10,0.999,0.9996,0.9998,1,3,,300,122,49,49,49,,,,,,,7,,,31,0.9995,1999.499319,3,,3.301029857
6,0.999,5,0.9996,0,1,1,0.5,1,1,0.5,1,9,3,6,9,0.9985,0.999,0.9995,3,5,10,0.999,0.9996,0.9998,1,3,,300,123,49,49,49,,,,,,,7,,,36,0.9995,1999.499638,3,,3.301029926
6,0.999,5,0.9996,0,1,1,0.5,1,1,0.5,1,9,3,6,9,0.9985,0.999,0.9995,3,5,10,0.999,0.9996,0.9998,1,3,,300,133,49,49,49,,,,,,,7,,,41,0.9995,1999.499798,3,,3.301029961
6,0.999,5,0.9996,0,1,1,0.5,1,1,0.5,1,9,3,6,9,0.9985,0.999,0.9995,3,5,10,0.999,0.9996,0.9998,1,3,,300,222,49,49,49,,,,,,,7,,,24,0.9995,1999.499702,3,,3.30102994
6,0.999,5,0.9996,0,1,1,0.5,1,1,0.5,1,9,3,6,9,0.9985,0.999,0.9995,3,5,10,0.999,0.9996,0.9998,1,3,,300,223,49,49,49,,,,,,,7,,,38,0.9995,1999.49983,3,,3.301029968
6,0.999,5,0.9996,0,1,1,0.5,1,1,0.5,1,9,3,6,9,0.9985,0.999,0.9995,3,5,10,0.999,0.9996,0.9998,1,3,,300,233,49,49,49,,,,,,,7,,,43,0.9995,1999.499894,3,,3.301029982
6,0.999,5,0.9996,0,1,1,0.5,1,1,0.5,1,9,3,6,9,0.9985,0.999,0.9995,3,5,10,0.999,0.9996,0.9998,1,3,,300,333,49,49,49,,,,,,,7,,,39,0.9995,1999.499926,3,,3.301029989
6,0.999,5,0.9996,0,1,1,0.5,1,1,0.5,1,9,3,6,9,0.9985,0.999,0.9995,3,5,10,0.999,0.9996,0.9998,2,1,,110,100,49,49,,,,,,,,1,1,,9,0.998997752,997.2572075,2,,2.99902491
6,0.999,5,0.9996,0,1,1,0.5,1,1,0.5,1,9,3,6,9,0.9985,0.999,0.9995,3,5,10,0.999,0.9996,0.9998,2,1,,110,200,49,49,,,,,,,,1,1,,11,0.999597751,2485.521688,2,,3.395504919
6,0.999,5,0.9996,0,1,1,0.5,1,1,0.5,1,9,3,6,9,0.9985,0.999,0.9995,3,5,10,0.999,0.9996,0.9998,2,1,,110,300,49,49,,,,,,,,1,1,,16,0.99979775,4943.886757,2,,3.694112436
6,0.999,5,0.9996,0,1,1,0.5,1,1,0.5,1,9,3,6,9,0.9985,0.999,0.9995,3,5,10,0.999,0.9996,0.9998,2,1,,120,100,49,49,,,,,,,,1,1,,21,0.998998502,998.0036586,2,,2.999349697
6,0.999,5,0.9996,0,1,1,0.5,1,1,0.5,1,9,3,6,9,0.9985,0.999,0.9995,3,5,10,0.999,0.9996,0.9998,2,1,,120,200,49,49,,,,,,,,1,1,,23,0.999598501,2490.163713,2,,3.396315099
6,0.999,5,0.9996,0,1,1,0.5,1,1,0.5,1,9,3,6,9,0.9985,0.999,0.9995,3,5,10,0.999,0.9996,0.9998,2,1,,120,300,49,49,,,,,,,,1,1,,28,0.9997985,4962.286528,2,,3.695725596
6,0.999,5,0.9996,0,1,1,0.5,1,1,0.5,1,9,3,6,9,0.9985,0.999,0.9995,3,5,10,0.999,0.9996,0.9998,2,1,,130,100,49,49,,,,,,,,1,1,,24,0.998999251,998.7512275,2,,2.999674727
6,0.999,5,0.9996,0,1,1,0.5,1,1,0.5,1,9,3,6,9,0.9985,0.999,0.9995,3,5,10,0.999,0.9996,0.9998,2,1,,130,200,49,49,,,,,,,,1,1,,26,0.99959925,2494.823107,2,,3.397126794
6,0.999,5,0.9996,0,1,1,0.5,1,1,0.5,1,9,3,6,9,0.9985,0.999,0.9995,3,5,10,0.999,0.9996,0.9998,2,1,,130,300,49,49,,,,,,,,1,1,,31,0.99979925,4980.823755,2,,3.697344771
